graph_index,group,generation_method,n_routes,generated_n_routes,min_route_len,max_route_len,target_route_len,weight_combo_index,demand_time_weight,route_time_weight,median_connectivity_weight,run_name,cost,ATT,RTT,unserved_demand,n_nodes,covered_nodes,route_length_min,route_length_mean,route_length_max
639,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0639,1.7206625938415527,34.067718505859375,1124.495361328125,12.547464370727539,50,47,12,12.0,12
640,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0640,3.5225558280944824,32.51789474487305,1144.776611328125,24.558536529541016,50,44,12,12.0,12
641,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0641,1.4725500345230103,30.846250534057617,1068.4534912109375,19.323007583618164,50,46,12,12.0,12
642,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0642,2.9062182903289795,34.989200592041016,1139.2371826171875,31.24456787109375,50,42,12,12.0,12
643,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0643,3.4437060356140137,36.28950119018555,1355.7191162109375,22.033946990966797,50,47,12,12.0,12
644,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0644,2.233267068862915,28.367780685424805,844.1719970703125,34.83622360229492,50,42,12,12.0,12
645,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0645,3.093702554702759,36.494510650634766,1216.9378662109375,32.629249572753906,50,41,12,12.0,12
646,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0646,3.463789463043213,36.54876708984375,1401.32080078125,21.20286750793457,50,48,12,12.0,12
647,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0647,1.9877618551254272,36.752784729003906,1142.3565673828125,27.541568756103516,50,43,12,12.0,12
648,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0648,2.104187250137329,36.54304885864258,1174.75390625,21.23756217956543,50,46,12,12.0,12
649,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0649,3.5380136966705322,33.389034271240234,1171.4178466796875,27.327198028564453,50,43,12,12.0,12
650,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0650,1.8137710094451904,41.19059753417969,1174.1976318359375,29.153976440429688,50,44,12,12.0,12
651,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0651,2.884491443634033,34.22777557373047,1173.04052734375,29.826583862304688,50,42,12,12.0,12
652,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0652,3.223127841949463,37.65869140625,1231.8834228515625,26.293617248535156,50,43,12,12.0,12
653,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0653,1.5313477516174316,36.99348449707031,1370.9173583984375,18.683143615722656,50,46,12,12.0,12
654,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0654,1.8741756677627563,30.999420166015625,994.7657470703125,15.770035743713379,50,47,12,12.0,12
655,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0655,4.194063663482666,34.82133483886719,1482.151611328125,33.79343032836914,50,41,12,12.0,12
